;Hommes;Femmes;Hommes;Femmes;Hommes;Femmes;Hommes;Femmes;Hommes;Femmes;Hommes;Femmes;Hommes;Femmes;Hommes;Femmes
;Agriculteurs exploitants;Agriculteurs exploitants;Artisans. commerçants. chefs d'entreprise;Artisans. commerçants. chefs d'entreprise;Cadres et professions intellectuelles supérieures;Cadres et professions intellectuelles supérieures;Professions intermédiaires;Professions intermédiaires;Employés;Employés;Ouvriers;Ouvriers;Retraités;Retraités;Autres personnes sans activité professionnelle;Autres personnes sans activité professionnelle
15 à 19 ans;8;4;91;57;19;21;337;312;603;1953;3091;345;0;0;17610;18340
20 à 24 ans;21;4;214;152;994;840;3358;3688;2954;8189;7361;1253;0;0;8169;9403
25 à 39 ans;233;58;2602;1211;9278;6989;14780;17024;7332;23198;20573;3604;8;17;3486;7714
40 à 54 ans;515;145;4025;1702;10300;6569;14075;14442;5831;26748;21466;5252;351;711;3475;8489
55 à 64 ans;246;125;1725;657;4476;2309;4174;4383;1457;8041;5488;1774;17376;16860;2404;6586
65 ans ou plus;28;47;151;104;353;132;227;179;60;520;252;90;39065;57171;391;2507
Ensemble;1051;384;8808;3884;25420;16860;36951;40028;18237;68650;58231;12318;56800;74759;35535;53039
